TRUE,predict
1.230448961,1.353294492
1.716003299,1.641400695
0.954242527,1.078069568
1.919078112,1.940209866
1.995635152,2.030553341
1.380211234,1.356579423
1.591064572,1.419330597
1.939519286,1.914021492
1.681241274,1.76299274
1.531478882,1.562245965
1.079181194,1.357502699
1.079181194,1.199237585
1.447157979,1.426047802
1.662757874,1.652782798
1.991226077,1.95314002
1.732393742,1.579333425
1.518513918,1.813217878
1.518513918,1.341245413
1.690196037,1.814189672
1.56820178,1.56670785
1.39794004,1.443206549
1.447157979,1.369768739
2.411619663,2.356785297
1.707570195,1.703867555
2.060697794,1.883319139
1.724275827,1.731863499
0.90309,0.955012798
1.929418921,1.927430511
1.838849068,1.963825226
1.176091313,1.455438018
1.518513918,1.238769531
1.505149961,1.607722402
1.623249292,1.630370021
1.113943338,0.993447304
2.127104759,2.07231164
1.579783559,1.595859528
1.230448961,1.289057136
1.322219253,1.239644051
1.146128058,0.997325838
1.342422724,1.334343076
1.477121234,1.375567198
0.69897002,0.81852448
2.049217939,1.981037855
1.556302547,1.55797863
1.431363821,1.61673069
1.908485055,1.870681524
1.748188019,1.623096228
2.060697794,1.96642375
1.176091313,1.297805786
1.863322854,1.923171759
0.845098019,0.750145793
1.707570195,1.831928968
0.845098019,0.986836016
1,1.189052343
2.021189213,2.047855854
1.579783559,1.94227016
1.785329819,1.616715789
1.414973378,1.794583797
1.799340606,1.816802621
1.255272508,1.013340235
0.60206002,0.668426812
1.623249292,1.514270544
0.954242527,1.123887777
1.518513918,1.676400781
1.30103004,1.214829326
1.414973378,1.35327363
1.39794004,1.510901451
1.963787794,1.889415145
0.90309,1.283782721
1.77085197,1.778150558
1.56820178,1.495946407
1.113943338,1.21943748
1.491361737,1.465596318
1.732393742,1.754863858
1.934498429,2.004815817
1.90309,1.906830311
0.954242527,0.910740674
1.662757874,1.672585249
1.278753638,1.022916317
1.707570195,1.513082027
1.69896996,1.686829805
1.544068098,1.565484524
0.90309,1.287620783
1.041392684,1.287494659
1,1.776054502
1.672097802,1.578455448
2.07188201,2.007621765
0.30103001,0.47817266
1.146128058,1.335322857
2.093421698,2.013822079
0.30103001,0.606937349
1.832508922,1.958215117
1.69896996,1.676162124
1.361727834,1.388673902
1.544068098,1.460246801
0.845098019,0.682689786
2.07188201,2.112589836
1,1.1715765
1.39794004,1.754063725
1.944482684,1.848723531
1.20412004,1.303541899
1.785329819,1.766118646
1.963787794,1.944861412
0.845098019,0.786655784
1.255272508,1.15714252
1.447157979,1.45085454
1.755874872,1.676099539
2.004321337,1.911594391
1.255272508,1.275742292
1.643452644,1.633644223
1.949390054,1.84091723
1.462398052,1.600385547
0.954242527,0.869890451
2.012837172,1.991815329
1.919078112,1.978451729
1.544068098,1.600631118
1.954242468,1.958279848
1.342422724,1.207688093
1.30103004,1.602722168
1.39794004,1.44999826
1.414973378,1.388611913
1.819543958,1.783708453
1.785329819,1.802505732
1.462398052,1.4656533
1.748188019,1.713065147
1.897627115,1.834195852
1.361727834,1.213282585
1.278753638,0.98415035
1,0.956809998
1.672097802,1.637368321
2.103803635,2.127325535
2.262451172,2.25624299
1.278753638,1.441770315
1.892094612,1.881722569
1.518513918,1.488693833
1.60205996,1.668494344
1.579783559,1.504670739
2.008600235,1.878678203
0.60206002,0.382143974
1.447157979,1.431957603
1,1.019348264
1.176091313,1.051301718
1.799340606,1.809233665
1.908485055,1.937179923
1.255272508,1.260859013
1.732393742,1.728474855
0.778151274,1.209808826
1.623249292,1.67860806
1.60205996,1.588167667
1,1.114349365
1.977723598,1.791889548
1.544068098,1.433872938
1.80618,1.812552691
0.69897002,0.692727506
1.380211234,1.498108625
0.954242527,0.862087727
2.245512724,2.153040886
1.322219253,1.493912458
2.139878988,2.109742641
1.799340606,1.690757275
1.763427973,1.764405131
1.623249292,1.719086647
